1.338;-93;500;-1422;0
1.348;-88;500;-1422;0
1.358;-83;500;-1422;0
1.368;-77;600;-1422;0
1.378;-70;700;-1422;0
1.388;-64;600;-1422;0
1.398;-57;700;-1422;0
1.408;-50;700;-1422;0
1.417;-44;600;-1422;0
1.428;-36;800;-1422;0
1.438;-28;800;-1422;0
1.448;-21;700;-1422;0
1.458;-13;800;-1422;0
1.468;-5;800;-1422;0
1.478;3;800;-1422;0
1.488;10;700;-1422;0
1.497;17;700;-1422;0
1.508;26;900;-1422;0
1.518;33;700;-1422;0
1.528;40;700;-1422;0
1.538;47;700;-1422;0
1.548;54;700;-1422;0
1.558;61;700;-1422;0
1.568;68;700;-1422;0
1.578;74;600;-1422;0
1.588;80;600;-1422;0
1.598;85;500;-1422;0
1.607;90;500;-1422;0
1.618;95;500;-1422;0
1.628;99;400;-1422;0
1.638;103;400;-1422;0
1.647;106;300;-1422;0
1.658;110;400;-1422;0
1.668;112;200;-1422;0
1.678;114;200;-1422;0
1.688;116;200;-1422;0
1.698;117;100;-1422;0
1.708;117;0;-1422;0
1.718;118;100;-1422;0
1.728;117;-100;-1422;0
1.737;117;0;-1422;0
1.748;115;-200;-1422;0
1.758;113;-200;-1422;0
1.768;111;-200;-1422;0
1.778;108;-300;-1422;0
1.788;105;-300;-1422;0
1.798;101;-400;-1422;0
1.808;97;-400;-1422;0
1.818;93;-400;-1422;0
1.828;88;-500;-1422;0
1.838;83;-500;-1422;0
1.848;77;-600;-1422;0
1.858;71;-600;-1422;0
1.868;65;-600;-1422;0
1.877;59;-600;-1422;0
1.888;52;-700;-1422;0
1.898;45;-700;-1422;0
1.908;38;-700;-1422;0
1.918;30;-800;-1422;0
1.928;23;-700;-1422;0
1.938;15;-800;-1422;0
1.947;9;-600;-1422;0
1.958;0;-900;-1422;0
1.968;-7;-700;-1422;0
1.978;-15;-800;-1422;0
1.988;-22;-700;-1422;0
1.998;-30;-800;-1422;0
2.008;-37;-700;-1422;0
2.018;-44;-700;-1422;0
2.027;-50;-600;-1422;0
2.038;-57;-700;-1422;0
2.048;-64;-700;-1422;0
2.058;-70;-600;-1422;0
2.068;-76;-600;-1422;0
2.078;-81;-500;-1422;0
2.088;-87;-600;-1422;0
2.098;-91;-400;-1422;0
2.108;-96;-500;-1422;0
2.118;-100;-400;-1422;0
2.128;-103;-300;-1422;0
2.138;-107;-400;-1422;0
2.148;-109;-200;-1422;0
2.157;-111;-200;-1422;0
2.168;-113;-200;-1422;0
2.178;-115;-200;-1422;0
2.188;-115;0;-1422;0
2.198;-116;-100;-1422;0
2.207;-116;0;-1422;0
2.218;-115;100;-1422;0
2.228;-114;100;-1422;0
2.238;-112;200;-1422;0
2.248;-110;200;-1422;0
2.258;-108;200;-1422;0
2.268;-105;300;-1422;0
2.278;-102;300;-1422;0
2.288;-98;400;-1422;0
2.298;-94;400;-1422;0
2.308;-89;500;-1422;0
2.318;-84;500;-1422;0
2.328;-79;500;-1422;0
2.338;-73;600;-1422;0
2.348;-67;600;-1422;0
2.358;-61;600;-1422;0
2.367;-55;600;-1422;0
